"Code","Q Avg","Q Min","Q Max","Q % Zeros","Q % below 70%","P Avg","P Min","P Max","P % Zeros","P % below 70%","PRE Avg","PRE Min","PRE Max","PRE % Zeros","PRE % below 70%","L Avg","L Min","L Max","L % Zeros","L % below 70%","R Avg","R Min","R Max","R % Zeros","R % below 70%","OLE Avg","OLE Min","OLE Max","Exam Avg","Exam Min","Exam Max","Gender","CS Major","ECE major","Standing","Math Class","415 Final Grade","Q Diff","P Diff","L Diff","R Diff","Semester","Took 416","416 Grade","Took 515","515 Grade","Took 520","520 Grade","Graduated with CS Degree"
213,0.74,0.5,0.94,0,0.5,0.44,0,0.97,0.45,0.55,0,0,0,1,1,0.41,0,1,0.54,0.62,0.42,0,1,0.58,0.58,0.38,0.18,0.49,0.76,0.71,0.78,"MALE","YES","NO","FR","MATH 418",0.5,-0.01,-0.02,-0.45,-0.5,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
297,0.71,0.66,0.81,0,0.7,0.68,0.2,1,0,0.55,0.33,0,1,0.5,0.75,0.68,0,1,0.08,0.38,0.83,0,1,0.08,0.17,0.47,0.24,0.59,0.87,0.82,0.89,"UNKNOWN","YES","NO","SO","MATH 531",0.69,0,-0.18,0.04,-0.29,"SEMESTER2007","YES",0,"NO",-1,"NO",-1,"NO"
12,0.71,0.53,0.88,0,0.5,0.62,0.2,1,0,0.55,0.65,0,1,0.13,0.5,0.64,0,1,0.15,0.46,0.89,0,1,0.08,0.08,0.3,0.2,0.38,0.7,0.56,0.77,"MALE","YES","NO","FR","MATH 418",0.64,-0.04,-0.09,-0.04,-0.21,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
58,0.58,0.4,0.74,0,0.7,0.49,0,1,0.09,0.55,0.76,0,1,0.13,0.25,0.51,0,1,0.15,0.62,0.92,0,1,0.08,0.08,0.29,0.18,0.38,0.55,0.38,0.7,"FEMALE","YES","NO","FR","MATH 418",0.52,-0.09,-0.52,-0.11,0.17,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
304,0.92,0.84,1,0,0,0.89,0,1,0.09,0.09,0.58,0,1,0.38,0.5,0.99,0.91,1,0,0,0.97,0.83,1,0,0,0.94,0.85,0.99,0.88,0.79,0.97,"MALE","YES","NO","FR","MATH 425",0.92,-0.05,0.16,-0.02,-0.05,"SEMESTER2007","YES",3,"YES",4,"YES",2.67,"YES"
54,0.37,0,0.75,0.4,0.7,0.5,0,1,0.45,0.55,0,0,0,1,1,0.21,0,1,0.77,0.77,0.17,0,1,0.83,0.83,0.3,0,0.51,0.65,0.48,0.83,"MALE","YES","NO","GR","UNKNOWN",0.42,0.34,-0.23,0.15,0,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
360,0.9,0.72,1,0,0,0.61,0,0.95,0.27,0.36,0.47,0,1,0.5,0.5,0.77,0,1,0.15,0.23,0.74,0,1,0.25,0.25,0.88,0.8,0.98,0.91,0.85,0.95,"MALE","YES","NO","FR","MATH 426",0.71,-0.06,0.05,0.31,0.19,"SEMESTER2007","YES",2.67,"YES",2,"YES",0.67,"NO"
344,0.8,0.5,0.97,0,0.1,0.8,0,1,0.09,0.09,0.61,0,1,0.25,0.5,0.9,0.42,1,0,0.15,0.75,0,1,0.25,0.25,0.84,0.71,0.95,0.74,0.68,0.78,"MALE","YES","NO","FR","MATH 425",0.81,-0.1,0.07,0,0.17,"SEMESTER2007","YES",0.67,"YES",2.33,"NO",-1,"YES"
215,0.69,0.41,1,0,0.5,0.43,0,1,0.18,0.73,0.36,0,1,0.5,0.63,0.66,0,1,0.23,0.38,0.58,0,1,0.42,0.42,0.41,0.21,0.57,0.66,0.49,0.76,"MALE","NO","YES","FR","UNKNOWN",0.51,-0.01,-0.42,-0.48,-0.5,"SEMESTER2007","YES",0,"NO",-1,"NO",-1,"NO"
185,0.88,0.72,1,0,0,0.92,0.8,1,0,0,0.83,0,1,0.13,0.25,0.94,0.67,1,0,0.15,0.82,0,1,0.17,0.17,0.98,0.93,1,0.82,0.75,0.92,"MALE","YES","NO","FR","MATH 418",0.9,-0.07,-0.02,0.01,-0.31,"SEMESTER2007","YES",4,"YES",3.67,"YES",4,"YES"
269,0.54,0,0.87,0.1,0.6,0.18,0,1,0.82,0.82,0.41,0,1,0.5,0.63,0.17,0,1,0.69,0.92,0.55,0,1,0.25,0.67,0.07,0,0.21,0.34,0,0.77,"UNKNOWN","NO","YES","FR","UNKNOWN",0.26,-0.4,-0.33,-0.31,-0.58,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
191,0.61,0.38,0.87,0,0.8,0.41,0,0.99,0.36,0.73,0.43,0,1,0.38,0.75,0.48,0,1,0.46,0.54,0.9,0,1,0.08,0.08,0.23,0.08,0.45,0.67,0.57,0.8,"MALE","YES","NO","FR","MATH 418",0.48,-0.17,-0.62,-0.27,0.21,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
226,0.81,0.56,0.9,0,0.1,0.75,0,0.98,0.18,0.18,0.57,0,1,0.25,0.5,0.95,0.75,1,0,0,0.99,0.86,1,0,0,0.88,0.78,0.98,0.91,0.89,0.93,"MALE","YES","NO","FR","MATH 418",0.81,0.03,-0.39,-0.01,-0.02,"SEMESTER2007","YES",3.67,"YES",3,"YES",2.33,"YES"
67,0.6,0.43,0.73,0,0.8,0.57,0,0.97,0.18,0.55,0.81,0.25,1,0,0.25,0.81,0,1,0.08,0.15,0.97,0.83,1,0,0,0.44,0.19,0.6,0.87,0.85,0.89,"MALE","YES","NO","FR","MATH 425",0.68,-0.02,0.07,-0.1,-0.06,"SEMESTER2007","YES",2.33,"YES",0,"NO",-1,"NO"
327,0.62,0.44,0.9,0,0.7,0.73,0,1,0.09,0.18,0.3,0,1,0.5,0.88,0.8,0,1,0.15,0.23,0.75,0,1,0.17,0.25,0.45,0.27,0.58,0.76,0.72,0.78,"MALE","NO","YES","FR","UNKNOWN",0.68,-0.11,-0.15,-0.36,0.34,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
114,0.17,0,0.56,0.6,1,0.07,0,0.8,0.91,0.91,0.31,0,1,0.63,0.75,0.31,0,1,0.69,0.69,0.35,0,1,0.58,0.67,0.08,0,0.25,0.24,0,0.72,"UNKNOWN","NO","NO","FR","UNKNOWN",0.15,-0.34,-0.13,-0.57,-0.71,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
329,0.64,0.38,0.77,0,0.6,0.67,0,1,0.09,0.27,0.81,0.25,1,0,0.25,0.76,0,1,0.15,0.23,0.92,0.5,1,0,0.08,0.39,0.14,0.65,0.73,0.67,0.77,"UNKNOWN","NO","YES","FR","UNKNOWN",0.7,0,-0.15,-0.11,0.01,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
106,0.91,0.68,1,0,0.1,0.94,0.71,1,0,0,0.96,0.75,1,0,0,1,1,1,0,0,0.99,0.86,1,0,0,0.98,0.95,1,0.94,0.9,0.98,"MALE","NO","YES","FR","UNKNOWN",0.95,0.06,0.01,0,0.02,"SEMESTER2007","YES",3.67,"YES",2.67,"NO",-1,"YES"
94,0.54,0.31,0.78,0,0.7,0.63,0.15,0.95,0,0.55,0.45,0.11,1,0,0.75,0.77,0.33,1,0,0.38,0.97,0.75,1,0,0,0.45,0.24,0.58,0.58,0.49,0.63,"UNKNOWN","YES","NO","FR","MATH 418",0.65,-0.15,-0.06,-0.02,0.01,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
163,0.52,0.22,0.7,0,0.9,0.59,0,0.98,0.18,0.45,0.49,0,1,0.38,0.63,0.78,0,1,0.15,0.23,0.92,0.67,1,0,0.08,0.43,0.22,0.56,0.5,0.47,0.54,"UNKNOWN","NO","YES","FR","UNKNOWN",0.61,-0.06,-0.12,-0.13,0.01,"SEMESTER2007","YES",0,"NO",-1,"NO",-1,"NO"
57,0.73,0.53,0.91,0,0.3,0.89,0.61,1,0,0.18,0.89,0.61,1,0,0.13,0.95,0.75,1,0,0,0.57,0,1,0.33,0.5,0.88,0.76,0.98,0.89,0.81,0.93,"MALE","NO","YES","FR","UNKNOWN",0.83,0.13,-0.14,-0.05,-0.67,"SEMESTER2007","YES",1,"NO",-1,"NO",-1,"NO"
256,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,"MALE","NO","NO","FR","UNKNOWN",0,0,0,0,0,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
118,0.68,0.44,0.91,0,0.5,0.79,0,1,0.09,0.09,0.69,0,1,0.25,0.25,0.81,0,1,0.15,0.15,0.74,0,1,0.25,0.25,0.57,0.54,0.59,0.84,0.75,0.92,"MALE","NO","YES","FR","UNKNOWN",0.74,-0.06,-0.24,-0.33,-0.15,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
268,0.58,0.33,0.81,0,0.8,0.38,0,0.85,0.27,0.64,0.36,0,1,0.38,0.75,0.81,0,1,0.08,0.23,0.9,0,1,0.08,0.08,0.39,0.18,0.6,0.64,0.51,0.8,"MALE","YES","NO","FR","MATH 418",0.5,-0.07,-0.61,-0.14,-0.19,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
153,0.86,0.69,1,0,0.1,0.96,0.84,1,0,0,0.88,0.5,1,0,0.25,1,1,1,0,0,0.83,0,1,0.17,0.17,0.86,0.8,0.97,0.92,0.88,0.95,"UNKNOWN","NO","NO","SR","UNKNOWN",0.92,-0.09,-0.03,0,0.01,"SEMESTER2007","YES",3.67,"NO",-1,"NO",-1,"NO"
315,0.7,0.53,0.87,0,0.4,0.83,0.49,1,0,0.27,0.43,0,1,0.5,0.63,0.91,0,1,0.08,0.08,0.92,0,1,0.08,0.08,0.66,0.42,0.8,0.81,0.78,0.86,"MALE","YES","NO","FR","MATH 425",0.8,-0.16,-0.04,-0.17,-0.17,"SEMESTER2007","YES",3.33,"YES",2.67,"YES",2.67,"YES"
203,0.82,0.66,0.97,0,0.1,0.98,0.9,1,0,0,0.94,0.75,1,0,0,0.95,0.75,1,0,0,0.96,0.5,1,0,0.08,0.76,0.68,0.81,0.92,0.87,0.98,"MALE","NO","YES","FR","UNKNOWN",0.93,0.07,0.03,-0.03,0.08,"SEMESTER2007","YES",4,"YES",3.67,"NO",-1,"YES"
310,0.95,0.83,1,0,0,0.94,0.85,1,0,0,1,1,1,0,0,0.96,0.77,1,0,0,0.97,0.75,1,0,0,0.95,0.86,1,0.95,0.9,0.97,"MALE","NO","YES","FR","UNKNOWN",0.95,-0.07,-0.03,-0.05,0.03,"SEMESTER2007","YES",4,"YES",3.33,"NO",-1,"YES"
82,0.81,0.63,0.94,0,0.2,0.68,0,1,0.18,0.18,0.84,0.44,1,0,0.25,0.8,0,1,0.08,0.23,0.79,0,1,0.08,0.33,0.74,0.64,0.86,0.89,0.8,0.95,"MALE","NO","YES","FR","UNKNOWN",0.76,0.06,0.2,-0.22,-0.16,"SEMESTER2007","YES",0,"YES",2.67,"NO",-1,"YES"
393,0.73,0.44,1,0,0.5,0.75,0,1,0.18,0.18,0.72,0,1,0.25,0.25,0.88,0,1,0.08,0.15,0.9,0,1,0.08,0.08,0.68,0.58,0.79,0.82,0.59,0.97,"MALE","NO","NO","SO","UNKNOWN",0.79,-0.01,0.28,0.22,0.19,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
32,1,0.96,1,0,0,0.87,0,1,0.09,0.09,0.84,0,1,0.13,0.13,0.98,0.83,1,0,0,0.9,0,1,0.08,0.08,0.99,0.96,1,0.99,0.97,1,"MALE","YES","NO","FR","MATH 425",0.93,0.01,0.09,-0.02,0.21,"SEMESTER2007","YES",4,"YES",3.67,"YES",3.33,"YES"
165,0.76,0.53,0.94,0,0.3,0.89,0.75,1,0,0,0.8,0,1,0.13,0.25,0.77,0,1,0.08,0.31,0.98,0.75,1,0,0,0.34,0.23,0.47,0.88,0.83,0.92,"UNKNOWN","NO","NO","GR","UNKNOWN",0.83,-0.05,0.02,-0.12,0.04,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
157,0.85,0.63,0.94,0,0.1,0.96,0.9,1,0,0,1,1,1,0,0,0.98,0.86,1,0,0,1,1,1,0,0,0.59,0.51,0.64,0.87,0.84,0.9,"UNKNOWN","YES","NO","FR","MATH 425",0.92,-0.09,0.01,-0.03,0,"SEMESTER2007","YES",3.33,"YES",2,"NO",-1,"NO"
164,0.36,0,0.67,0.4,1,0,0,0,1,1,0.09,0,0.72,0.88,0.88,0.23,0,1,0.69,0.77,0.17,0,1,0.83,0.83,0.25,0.1,0.54,0.33,0,0.67,"MALE","NO","NO","FR","UNKNOWN",0.14,-0.28,0,-0.43,-0.33,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
326,0.56,0,0.88,0.2,0.5,0.8,0,1,0.09,0.09,0.11,0,0.67,0.75,1,0.49,0,1,0.46,0.54,0.4,0,1,0.5,0.67,0.83,0.73,0.92,0.82,0.81,0.84,"MALE","NO","YES","FR","UNKNOWN",0.69,-0.16,0.05,-0.29,-0.31,"SEMESTER2007","YES",2.67,"YES",3,"YES",3.67,"YES"
17,0.59,0.4,0.72,0,0.9,0.51,0,1,0.09,0.73,0.53,0,1,0.38,0.5,0.65,0,1,0.23,0.38,0.38,0,1,0.58,0.67,0.36,0.18,0.47,0.56,0.37,0.72,"MALE","NO","YES","FR","UNKNOWN",0.51,0.02,-0.2,-0.27,-0.42,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
178,0.78,0.56,1,0,0.2,0.77,0,1,0.09,0.09,0.59,0,1,0.25,0.5,0.87,0.58,1,0,0.15,0.83,0,1,0.08,0.25,0.25,0.14,0.36,0.85,0.81,0.9,"UNKNOWN","NO","YES","FR","UNKNOWN",0.76,-0.04,0.14,-0.05,0.08,"SEMESTER2007","YES",0,"NO",-1,"NO",-1,"NO"
233,0.73,0.6,0.9,0,0.4,0.36,0,1,0.55,0.64,0.27,0,1,0.63,0.75,0.74,0,1,0.15,0.31,0.9,0,1,0.08,0.08,0.3,0.06,0.58,0.82,0.81,0.84,"MALE","YES","NO","FR","MATH 418",0.51,-0.05,-0.66,-0.3,-0.19,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
217,0.76,0.63,0.84,0,0.2,0.85,0.73,1,0,0,0.8,0.5,1,0,0.25,0.95,0.69,1,0,0.08,0.96,0.57,1,0,0.08,0.39,0.27,0.46,0.89,0.86,0.94,"MALE","YES","NO","FR","MATH 418",0.83,-0.02,-0.08,-0.09,0.07,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
309,0.82,0.7,0.94,0,0,0.93,0.72,1,0,0,0.73,0,1,0.13,0.25,0.95,0.75,1,0,0,0.9,0,1,0.08,0.08,0.8,0.67,0.88,0.86,0.82,0.91,"MALE","NO","YES","FR","UNKNOWN",0.89,-0.03,-0.09,-0.04,-0.14,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
18,0.7,0.43,0.86,0,0.4,0.59,0,0.98,0.09,0.36,0.8,0,1,0.13,0.25,0.73,0,1,0.08,0.31,0.97,0.83,1,0,0,0.45,0.24,0.78,0.72,0.71,0.75,"MALE","YES","NO","FR","MATH 418",0.67,-0.12,-0.08,0.06,0,"SEMESTER2007","YES",2,"YES",1.67,"YES",0.67,"YES"
376,0.62,0.44,0.87,0,0.8,0.85,0.6,0.97,0,0.18,0.81,0.5,1,0,0.25,0.89,0.44,1,0,0.15,0.96,0.71,1,0,0,0.61,0.49,0.77,0.78,0.74,0.85,"MALE","NO","YES","FR","UNKNOWN",0.8,-0.13,-0.15,-0.16,-0.08,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
249,0.49,0.13,0.77,0,0.9,0.57,0,1,0.27,0.45,0.68,0,1,0.25,0.38,0.59,0,1,0.31,0.46,0.83,0,1,0.08,0.17,0.35,0.12,0.51,0.7,0.6,0.83,"MALE","YES","NO","FR","MATH 418",0.58,-0.11,-0.13,-0.59,-0.22,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
221,0.79,0.63,0.94,0,0.2,0.92,0.72,1,0,0,0.82,0,1,0.13,0.13,0.94,0.58,1,0,0.08,0.99,0.86,1,0,0,0.95,0.93,0.98,0.89,0.83,0.94,"FEMALE","NO","NO","FR","MATH 425",0.91,0.09,-0.06,-0.01,0.02,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
3,0.85,0.7,0.94,0,0,0.86,0.75,1,0,0,0.7,0.25,1,0,0.25,0.85,0,1,0.15,0.15,0.92,0,1,0.08,0.08,0.99,0.98,1,0.9,0.87,0.96,"MALE","YES","NO","FR","MATH 425",0.88,0.06,-0.04,0.29,0.17,"SEMESTER2007","YES",3.67,"YES",3,"NO",-1,"YES"
146,0.74,0.59,0.91,0,0.2,0.76,0.4,0.98,0,0.36,0.4,0,1,0.38,0.63,0.78,0,1,0.15,0.23,0.75,0,1,0.25,0.25,0.46,0.46,0.47,0.8,0.76,0.85,"MALE","YES","NO","FR","MATH 418",0.75,-0.05,0.09,-0.47,0.17,"SEMESTER2007","YES",2.33,"YES",1,"NO",-1,"NO"
140,0.56,0.44,0.88,0,0.7,0.86,0.65,1,0,0.09,0.38,0,1,0.38,0.75,0.81,0,1,0.08,0.23,0.5,0,1,0.5,0.5,0.34,0.13,0.57,0.7,0.59,0.77,"MALE","YES","NO","SO","MATH 418",0.71,-0.12,0,-0.02,-0.33,"SEMESTER2007","YES",1.67,"NO",-1,"NO",-1,"NO"
51,0.62,0.37,0.88,0,0.7,0.67,0,0.87,0.09,0.27,0.56,0,1,0.25,0.5,0.8,0,1,0.08,0.23,0.43,0,1,0.5,0.58,0.33,0.1,0.56,0.76,0.65,0.86,"MALE","NO","NO","FR","UNKNOWN",0.63,0.13,0.16,-0.17,-0.2,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
289,0.46,0,0.75,0.2,0.8,0.41,0,1,0.45,0.64,0.34,0,1,0.63,0.63,0.54,0,1,0.38,0.46,0.71,0,1,0.25,0.25,0.2,0,0.49,0.32,0,0.63,"UNKNOWN","YES","NO","FR","MATH 418",0.4,-0.24,-0.75,-0.69,-0.46,"SEMESTER2007","NO",-1,"NO",-1,"NO",-1,"NO"
377,0.9,0.75,1,0,0,0.92,0.74,1,0,0,0.28,0,1,0.63,0.75,0.87,0,1,0.08,0.08,0.92,0,1,0.08,0.08,0.94,0.84,1,0.86,0.73,0.96,"MALE","NO","YES","FR","UNKNOWN",0.89,-0.09,-0.05,-0.1,0.17,"SEMESTER2007","YES",3.33,"YES",2.67,"NO",-1,"NO"
238,0.93,0.77,1,0,0,0.97,0.88,1,0,0,0.89,0.5,1,0,0.25,0.87,0,1,0.08,0.15,1,1,1,0,0,1,0.99,1,0.97,0.97,0.98,"MALE","NO","YES","FR","UNKNOWN",0.96,0.1,-0.01,0.2,0,"SEMESTER2007","YES",4,"YES",3.33,"NO",-1,"YES"
207,0.86,0.69,1,0,0.1,0.87,0.64,1,0,0.09,0.45,0,1,0.5,0.5,0.99,0.91,1,0,0,0.92,0,1,0.08,0.08,0.88,0.69,1,0.89,0.85,0.92,"MALE","YES","NO","FR","MATH 426",0.87,0.03,-0.11,-0.02,0.17,"SEMESTER2007","YES",2,"YES",2.33,"YES",0,"NO"
241,0.9,0.66,1,0,0.1,0.99,0.96,1,0,0,0.97,0.78,1,0,0,0.98,0.73,1,0,0,1,1,1,0,0,1,0.99,1,0.99,0.97,1,"UNKNOWN","NO","YES","FR","UNKNOWN",0.98,-0.08,-0.01,-0.05,0,"SEMESTER2007","YES",4,"NO",-1,"NO",-1,"NO"
182,0.705682894,0,0.916666667,0.1,0.3,0.267272727,0,1,0.727272727,0.727272727,0,0,0,1,1,0.363636364,0,1,0.636363636,0.636363636,0.666666667,0,1,0.333333333,0.333333333,0.73,0.51,0.95,0.27,0,0.54,"MALE","NO","NO","SO","UNKNOWN",0.413056332,-0.078032454,-0.49,-0.363636364,-0.3,"SEMESTER2008","YES",0,"NO",-1,"NO",-1,"NO"
112,0.772714249,0.466666667,0.9375,0,0.3,0.974545455,0.93,1,0,0,0.725,0.6,1,0,0.5,0.920454545,0,1,0.045454545,0.045454545,0.888888889,0,1,0.111111111,0.111111111,0.98,0.96,1,0.635,0.52,0.75,"UNKNOWN","YES","NO","FR","MATH 425",0.915471691,0.106042089,-0.015666667,0.107575758,0.2,"SEMESTER2008","NO",-1,"NO",-1,"NO",-1,"NO"
383,0.660213123,0,0.966666667,0.2,0.2,0.609090909,0,1,0.363636364,0.363636364,0.2,0,0.8,0.75,0.75,0.7875,0,1,0.181818182,0.227272727,0.777777778,0,1,0.222222222,0.222222222,0.49,0,0.98,0.235,0,0.47,"MALE","YES","NO","SO","MATH 425",0.620684927,-0.320834742,-0.757333333,-0.425,-0.5,"SEMESTER2008","YES",3,"YES",1.33,"NO",-1,"NO"
98,0.71357984,0.586206897,0.84375,0,0.3,0.831818182,0.49,1,0,0.181818182,0.75,0.4,1,0,0.25,0.898030303,0,1,0.045454545,0.090909091,0.888888889,0,1,0.111111111,0.111111111,0.545,0.32,0.77,0.52,0.46,0.58,"MALE","YES","NO","FR","MATH 418",0.796457423,-0.049136804,-0.190333333,0.016060606,0.2,"SEMESTER2008","NO",-1,"NO",-1,"NO",-1,"NO"
343,0.687786089,0.46875,0.875,0,0.5,0.632727273,0,0.98,0.181818182,0.363636364,0.35,0,0.9,0.5,0.75,0.832575758,0,1,0.136363636,0.181818182,0.666666667,0,1,0.333333333,0.333333333,0.535,0.44,0.63,0.505,0.31,0.7,"MALE","NO","YES","FR","UNKNOWN",0.663764251,-0.019689824,-0.569666667,-0.125757576,0.15,"SEMESTER2008","YES",2,"YES",2,"NO",-1,"NO"
209,0.616136466,0.441176471,0.794117647,0,0.8,0.690909091,0,1,0.090909091,0.363636364,0.45,0,1,0.5,0.5,0.836893939,0,1,0.090909091,0.181818182,1,1,1,0,0,0.405,0.35,0.46,0.495,0.41,0.58,"UNKNOWN","NO","NO","JR","UNKNOWN",0.688974588,-0.006210841,-0.405,0.051969697,0,"SEMESTER2008","NO",-1,"NO",-1,"NO",-1,"NO"
328,0.720657821,0,0.970588235,0.1,0.3,0.585454545,0,1,0.181818182,0.363636364,0,0,0,1,1,0.843636364,0,1,0.136363636,0.181818182,0.777777778,0,1,0.222222222,0.222222222,0.96,0.92,1,0.335,0,0.67,"FEMALE","YES","NO","SO","MATH 426",0.654847322,0.151985012,-0.717666667,-0.123636364,0.4,"SEMESTER2008","NO",-1,"NO",-1,"NO",-1,"YES"
299,0.790606406,0,0.972222222,0.1,0.1,0.737272727,0,1,0.090909091,0.272727273,0.5,0,0.9,0.25,0.75,0.859469697,0,1,0.090909091,0.090909091,0.777777778,0,1,0.222222222,0.222222222,0.96,0.92,1,0.585,0.47,0.7,"MALE","YES","NO","FR","MATH 425",0.780337377,0.184473462,-0.471666667,-0.178030303,-0.05,"SEMESTER2008","YES",2,"YES",2,"YES",2,"NO"
172,0.816211686,0.655172414,0.941176471,0,0.1,0.598181818,0,1,0.181818182,0.454545455,0.625,0,1,0.25,0.5,0.928409091,0.6,1,0,0.045454545,0.444444444,0,1,0.555555556,0.555555556,0.965,0.95,0.98,0.57,0.49,0.65,"MALE","NO","YES","FR","UNKNOWN",0.716172008,0.048540681,-0.458666667,-0.034090909,-0.35,"SEMESTER2008","YES",0,"NO",-1,"NO",-1,"NO"
