@relation 'cs415all-weka.filters.unsupervised.attribute.Discretize-D-B2-M-1.0-R33,34,35,36,44,46,48,50-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R37-weka.filters.unsupervised.attribute.Discretize-B7-M-1.0-R38-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R51-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,50-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R50-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R45-48,50-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,45,44-weka.filters.unsupervised.attribute.Remove-R43'

@attribute 'Q Avg' numeric
@attribute 'Q Min' numeric
@attribute 'Q Max' numeric
@attribute 'Q \% Zeros' numeric
@attribute 'Q \% below 70\%' numeric
@attribute 'P Avg' numeric
@attribute 'P Min' numeric
@attribute 'P Max' numeric
@attribute 'P \% Zeros' numeric
@attribute 'P \% below 70\%' numeric
@attribute 'PRE Avg' numeric
@attribute 'PRE Min' numeric
@attribute 'PRE Max' numeric
@attribute 'PRE \% Zeros' numeric
@attribute 'PRE \% below 70\%' numeric
@attribute 'L Avg' numeric
@attribute 'L Min' numeric
@attribute 'L Max' numeric
@attribute 'L \% Zeros' numeric
@attribute 'L \% below 70\%' numeric
@attribute 'R Avg' numeric
@attribute 'R Min' numeric
@attribute 'R Max' numeric
@attribute 'R \% Zeros' numeric
@attribute 'R \% below 70\%' numeric
@attribute 'OLE Avg' numeric
@attribute 'OLE Min' numeric
@attribute 'OLE Max' numeric
@attribute 'Exam Avg' numeric
@attribute 'Exam Min' numeric
@attribute 'Exam Max' numeric
@attribute Male_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Female_1 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'CS Major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute 'ECE major_1' {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute Standing {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute 'Math Class' {'\'(-inf-0.857143]\'','\'(0.857143-1.714286]\'','\'(1.714286-2.571429]\'','\'(2.571429-3.428571]\'','\'(3.428571-4.285714]\'','\'(4.285714-5.142857]\'','\'(5.142857-inf)\''}
@attribute '415 Final Grade' numeric
@attribute 'Q Diff' numeric
@attribute 'P Diff' numeric
@attribute 'L Diff' numeric
@attribute 'R Diff' numeric
@attribute Semester {'\'(-inf-0.75]\'','\'(0.75-1.5]\'','\'(1.5-2.25]\'','\'(2.25-inf)\''}
@attribute '416 Grade' numeric

@data
0.488587,0,0.866667,0.3,0.6,0.937273,0.85,1,0,0,0.8375,0.75,1,0,0,0.914773,0.125,1,0,0.090909,1,1,1,0,0,0.875,0.75,1,0.595,0.43,0.76,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(-inf-0.857143]\'',0.842344,-0.150376,-0.042667,-0.052273,0,'\'(0.75-1.5]\'',2.67
0.787525,0.666667,0.875,0,0.1,0.917273,0.8,1,0,0,0.6,0,1,0.25,0.5,0.938333,0.6,1,0,0.090909,1,1,1,0,0,0.855,0.71,1,0.525,0.39,0.66,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.877016,0.027483,-0.042667,-0.116061,0,'\'(0.75-1.5]\'',3
0.880524,0.75,0.944444,0,0,0.945455,0.83,1,0,0,0.65,0.2,1,0,0.5,0.937121,0,1,0.045455,0.045455,0.888889,0,1,0.111111,0.111111,1,1,1,0.66,0.55,0.77,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(-inf-0.857143]\'',0.925291,0.007906,-0.043,-0.089394,-0.25,'\'(0.75-1.5]\'',2.67
0.70713,0,1,0.1,0.2,0.744545,0.07,1,0,0.363636,0.55,0.1,1,0,0.75,0.820833,0,1,0.090909,0.181818,0.333333,0,1,0.666667,0.666667,0.945,0.9,0.99,0.565,0.46,0.67,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.741686,0.116705,-0.345667,-0.285606,-0.6,'\'(0.75-1.5]\'',1.67
0.984142,0.933333,1,0,0,0.999091,0.99,1,0,0,0.925,0.8,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0.71,0.6,0.82,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(3.428571-4.285714]\'',0.994916,0.019951,-0.002,0,0,'\'(0.75-1.5]\'',4
0.916163,0.705882,1,0,0,0.865455,0,1,0.090909,0.090909,0.6125,0,0.9,0.25,0.25,0.92803,0,1,0.045455,0.045455,0.666667,0,1,0.333333,0.333333,1,1,1,0.635,0.5,0.77,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.878669,-0.009941,-0.222667,0.119697,-0.3,'\'(0.75-1.5]\'',4
0.927279,0.805556,1,0,0,0.943636,0.84,1,0,0,0.875,0.7,1,0,0,0.930682,0,1,0.045455,0.045455,1,1,1,0,0,1,1,1,0.65,0.54,0.76,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(4.285714-5.142857]\'',0.941356,-0.059216,-0.028667,0.097727,0,'\'(0.75-1.5]\'',4
0.708459,0.413793,0.96875,0,0.5,0.864545,0.44,1,0,0.090909,0.75,0.6,1,0,0.5,0.82803,0,1,0.090909,0.181818,0.888889,0,1,0.111111,0.111111,0.975,0.95,1,0.51,0.38,0.64,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(0.8-1.6]\'','\'(-inf-0.857143]\'',0.826455,0.038802,-0.136667,0.310606,-0.25,'\'(0.75-1.5]\'',1
0.865728,0.793103,1,0,0,0.850909,0,1,0.090909,0.181818,0.5,0,0.9,0.25,0.75,0.87553,0,1,0.090909,0.090909,0.888889,0,1,0.111111,0.111111,0.99,0.98,1,0.61,0.52,0.7,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(-inf-0.857143]\'',0.859961,0.000734,-0.317,0.00197,-0.25,'\'(0.75-1.5]\'',3.33
0.77986,0.617647,0.972222,0,0.2,0.435455,0,1,0.454545,0.545455,0.125,0,0.5,0.75,1,0.798258,0,1,0.045455,0.272727,1,1,1,0,0,0.61,0.52,0.7,0.555,0.45,0.66,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.601521,-0.018624,-0.798333,-0.352576,0,'\'(0.75-1.5]\'',0
0.799939,0.583333,0.941176,0,0.1,0.960909,0.92,1,0,0,0.9,0.8,1,0,0,0.9375,0,1,0.045455,0.045455,1,1,1,0,0,0.875,0.75,1,0.575,0.51,0.64,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.91402,-0.086235,-0.009,0.093182,0,'\'(0.75-1.5]\'',3.33
0.687891,0.416667,0.882353,0,0.6,0.879091,0.17,1,0,0.090909,0.7,0,1,0.25,0.25,0.831818,0,1,0.045455,0.181818,0.888889,0,1,0.111111,0.111111,0.58,0.38,0.78,0.6,0.5,0.7,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.812524,-0.057072,-0.233,0.045455,-0.25,'\'(0.75-1.5]\'',2.67
0.917143,0.852941,0.972222,0,0,0.970909,0.89,1,0,0,0.925,0.8,1,0,0,0.882955,0,1,0.045455,0.090909,1,1,1,0,0,0.94,0.9,0.98,0.64,0.52,0.76,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.94184,0.026989,-0.001667,0.038636,0,'\'(0.75-1.5]\'',4
0.779283,0.527778,0.933333,0,0.2,0.757273,0,1,0.090909,0.272727,0.5125,0,0.8,0.25,0.5,0.858106,0,1,0.045455,0.136364,0.888889,0,1,0.111111,0.111111,0.895,0.87,0.92,0.555,0.4,0.71,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.785436,-0.14484,-0.372667,0.030758,0.2,'\'(0.75-1.5]\'',2
0.782616,0.666667,1,0,0.2,0.911818,0.82,1,0,0,0.675,0,1,0.25,0.25,0.958712,0.75,1,0,0,1,1,1,0,0,0.935,0.87,1,0.555,0.4,0.71,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.885915,-0.062617,-0.018,0.017424,0,'\'(0.75-1.5]\'',3.33
0.81255,0.611111,1,0,0.1,0.960909,0.87,1,0,0,0.8875,0.75,1,0,0,0.890303,0,1,0.045455,0.136364,1,1,1,0,0,0.975,0.95,1,0.65,0.52,0.78,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(3.428571-4.285714]\'',0.921458,-0.011375,-0.038333,0.067879,0,'\'(0.75-1.5]\'',4
0.748268,0.566667,1,0,0.5,0.844545,0.52,1,0,0.090909,0.55,0.1,1,0,0.75,0.948636,0.65,1,0,0.045455,1,1,1,0,0,0.92,0.86,0.98,0.545,0.37,0.72,'\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.841021,-0.04719,-0.184333,-0.006364,0,'\'(0.75-1.5]\'',2.33
0.889108,0.75,0.970588,0,0,0.687273,0,1,0.181818,0.272727,0.95,0.8,1,0,0,0.715076,0,1,0.136364,0.318182,0.444444,0,1,0.555556,0.555556,0.86,0.85,0.87,0.65,0.55,0.75,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(1.714286-2.571429]\'',0.748675,-0.015472,-0.644,0.004697,-0.8,'\'(0.75-1.5]\'',1.67
0.619906,0.352941,0.794118,0,0.4,0.876364,0.65,1,0,0.090909,0.5875,0,0.8,0.25,0.25,0.932197,0.25,1,0,0.090909,0.888889,0,1,0.111111,0.111111,0.535,0.42,0.65,0.53,0.47,0.59,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.802244,-0.205989,-0.118,-0.090152,0.2,'\'(0.75-1.5]\'',1.33
0.772393,0,0.970588,0.1,0.1,0.748182,0,1,0.090909,0.363636,0.625,0,1,0.25,0.5,0.888636,0,1,0.045455,0.136364,1,1,1,0,0,0.9,0.8,1,0.68,0.52,0.84,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(-inf-0.857143]\'',0.803812,-0.084246,-0.524667,0.065152,0,'\'(0.75-1.5]\'',2.33
0.774248,0.62069,0.91,0,0.222222,0.890769,0.27,1,0,0.076923,0.171429,0,0.857143,0.8,0.8,0.893922,0.416667,1.166667,0,0.115385,0.769231,0,1,0.230769,0.230769,0.87,0.81,0.97,0.86244,0.844444,0.880435,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.851958,-0.059573,-0.171667,-0.094426,-0.190476,'\'(1.5-2.25]\'',1.67
0.568023,0.205128,0.809524,0,0.777778,0.793846,0,1,0.076923,0.153846,0.552857,0,0.857143,0.2,0.6,0.9484,0.725,1.166667,0,0,0.75,0,1,0.230769,0.230769,0.516667,0.39,0.61,0.587077,0.511111,0.663043,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.736434,-0.223928,-0.350714,-0.067057,-0.541667,'\'(1.5-2.25]\'',0
0.960548,0.909091,1,0,0,0.991538,0.95,1,0,0,0.93,0.7,1,0,0,0.946719,0.333333,1,0,0.038462,1,1,1,0,0,0.983333,0.95,1,0.956039,0.955556,0.956522,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.973331,-0.016352,-0.005952,0.049725,0,'\'(1.5-2.25]\'',4
0.922624,0.8,0.974359,0,0,0.88,0.3,1,0,0.153846,0.92,0.8,1,0,0,0.997115,0.9,1.166667,0,0,1,1,1,0,0,0.993333,0.98,1,0.911836,0.888889,0.934783,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.919713,0.009691,-0.015476,-0.007479,0,'\'(1.5-2.25]\'',4
0.90889,0.771429,0.974359,0,0,0.798462,0.1,1,0,0.307692,0.767143,0.4,0.95,0,0.2,0.939443,0.259259,1.166667,0,0.038462,0.897436,0,1,0.076923,0.153846,0.876667,0.76,1,0.851691,0.847826,0.855556,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.845796,-0.009424,-0.34381,-0.10695,-0.222222,'\'(1.5-2.25]\'',2
0.681543,0.473684,0.827586,0,0.333333,0.89,0.54,1,0,0.076923,0.698571,0.4,1,0,0.6,0.959921,0.75,1.166667,0,0,1,1,1,0,0,0.503333,0.34,0.61,0.751812,0.666667,0.836957,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.824242,-0.067204,-0.095952,0.022039,0,'\'(1.5-2.25]\'',2.67
0.854082,0.714286,1,0,0,0.938462,0.7,1,0,0,0.755714,0,1,0.2,0.2,0.935388,0.375,1.166667,0,0.076923,0.846154,0,1,0.153846,0.153846,0.92,0.78,1,0.856522,0.8,0.913043,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(2.571429-3.428571]\'',0.911988,0.071744,-0.068333,-0.057186,-0.333333,'\'(1.5-2.25]\'',2.33
0.718656,0,0.923077,0.111111,0.222222,0.970769,0.87,1,0,0,0.882857,0.8,1,0,0,0.972735,0.625,1.166667,0,0.038462,0.846154,0,1,0.153846,0.153846,0.926667,0.88,0.98,0.846014,0.833333,0.858696,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.910696,-0.087024,-0.023095,-0.041709,-0.333333,'\'(1.5-2.25]\'',4
0.775346,0.65,0.880952,0,0.333333,0.835385,0.05,1,0,0.153846,0.895714,0.8,1,0,0,0.982106,0.791667,1.166667,0,0,1,1,1,0,0,0.796667,0.73,0.87,0.856643,0.811111,0.902174,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.853269,0.052219,-0.220476,-0.029683,0,'\'(1.5-2.25]\'',1.33
0.818235,0.657143,0.923077,0,0.111111,0.893846,0.63,1,0,0.153846,0.58,0,0.9,0.2,0.6,0.982424,0.916667,1,0,0,0.846154,0,1,0.153846,0.153846,0.79,0.37,1,0.917754,0.902174,0.933333,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.889648,0.080383,-0.121667,0.011905,-0.02381,'\'(1.5-2.25]\'',3.67
0.719436,0.526316,0.9,0,0.666667,0.871538,0.35,1,0,0.153846,0.7,0,1,0.2,0.4,0.96656,0.625,1.166667,0,0.038462,0.980769,0.75,1,0,0,0.53,0.23,0.86,0.686111,0.622222,0.75,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(2.571429-3.428571]\'',0.820178,-0.069245,-0.200952,-0.030641,-0.041667,'\'(1.5-2.25]\'',2.67
0.886647,0.75,0.977273,0,0,0.983846,0.8,1,0,0,0.825714,0.4,1,0,0.2,0.965006,0.4,1.166667,0,0.038462,1,1,1,0,0,0.99,0.98,1,0.857488,0.826087,0.888889,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(4.285714-5.142857]\'',0.955042,0.088444,-0.035,0.049475,0,'\'(1.5-2.25]\'',4
0.746362,0.542857,0.871795,0,0.222222,0.876154,0.48,1,0,0.076923,0.827143,0.6,0.95,0,0.2,0.952595,0.72,1.166667,0,0,0.980769,0.75,1,0,0,0.943333,0.92,0.96,0.89058,0.847826,0.933333,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.87486,0.087773,-0.070238,-0.036471,0.035714,'\'(1.5-2.25]\'',3.67
0.588195,0.47619,0.736842,0,0.888889,0.936154,0.76,1,0,0,0.815714,0.4,1,0,0.2,0.965095,0.791667,1.166667,0,0,0.903846,0,1,0.076923,0.076923,0.653333,0.48,0.91,0.637077,0.611111,0.663043,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.835494,-0.03677,-0.054762,-0.043437,-0.130952,'\'(1.5-2.25]\'',2.33
0.907938,0.772727,0.973684,0,0,0.944615,0.6,1,0,0.076923,0.605714,0,0.928571,0.2,0.4,0.973489,0.6,1.166667,0,0.038462,0.974359,0.666667,1,0,0.076923,0.986667,0.96,1,0.906763,0.891304,0.922222,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.937166,-0.029477,-0.058095,0.005586,-0.055556,'\'(1.5-2.25]\'',3.67
0.908328,0.827586,1,0,0,0.956154,0.6,1,0,0.076923,0.77,0.4,1,0,0.4,0.990293,0.875,1.166667,0,0,1,1,1,0,0,0.98,0.94,1,0.900966,0.888889,0.913043,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.946959,0.006494,0.053571,-0.02674,0,'\'(1.5-2.25]\'',4
0.935909,0.885714,1,0,0,0.954615,0.83,1,0,0,0.67,0,1,0.2,0.4,0.969582,0.725,1,0,0,1,1,1,0,0,0.983333,0.95,1,0.878986,0.866667,0.891304,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.944607,0.01777,-0.045714,-0.008822,0,'\'(1.5-2.25]\'',4
0.879684,0.7,0.974359,0,0,0.99,0.95,1,0,0,0.865714,0.6,1,0,0.2,0.952631,0.333333,1,0,0.038462,1,1,1,0,0,0.94,0.85,0.99,0.922585,0.877778,0.967391,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.952657,0.088293,-0.012381,0.08619,0,'\'(1.5-2.25]\'',4
0.900751,0.795455,1,0,0,0.870769,0.42,1,0,0.230769,0.3,0,1,0.6,0.8,0.950369,0.55,1.166667,0,0.076923,0.884615,0,1,0.076923,0.076923,0.9,0.77,1,0.851449,0.833333,0.869565,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(2.571429-3.428571]\'',0.878051,-0.030301,-0.224286,-0.075183,-0.172619,'\'(1.5-2.25]\'',2.33
0.48291,0.333333,0.74,0,0.888889,0.582308,0,1,0.230769,0.461538,0.13,0,0.65,0.8,1,0.79732,0,1,0.076923,0.307692,0.846154,0,1,0.153846,0.153846,0.403333,0.12,0.79,0.614251,0.511111,0.717391,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.587057,-0.208122,-0.354048,0.130659,-0.02381,'\'(1.5-2.25]\'',1.67
0.753912,0.571429,0.921053,0,0.444444,0.687692,0,1,0.076923,0.461538,0.741429,0.3,0.95,0,0.4,0.913596,0.55,1.166667,0,0.115385,0.820513,0,1,0.153846,0.230769,0.86,0.67,1,0.758213,0.755556,0.76087,'\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.761103,0.036103,-0.413571,-0.057277,-0.079365,'\'(1.5-2.25]\'',0.67
0.889353,0.724138,0.977273,0,0,0.919231,0.78,1,0,0,0.895714,0.6,1,0,0.2,0.956291,0.777778,1,0,0,0.980769,0.75,1,0,0,0.946667,0.87,1,0.944928,0.933333,0.956522,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.924298,0.048653,-0.057381,0.021178,0.035714,'\'(1.5-2.25]\'',4
0.765964,0.657143,0.904762,0,0.111111,0.791538,0.1,1,0,0.307692,0.858571,0.642857,1,0,0.2,0.871938,0.291667,1,0,0.115385,1,1,1,0,0,0.57,0.29,0.79,0.802657,0.76087,0.844444,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.782023,-0.051965,-0.191667,-0.09627,0,'\'(1.5-2.25]\'',1
0.764848,0.586207,0.857143,0,0.222222,0.971538,0.9,1,0,0,0.805714,0.4,1,0,0.2,0.984301,0.866667,1.166667,0,0,1,1,1,0,0,0.853333,0.78,0.99,0.879348,0.858696,0.9,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.92464,-0.016347,-0.021429,-0.028858,0,'\'(1.5-2.25]\'',4
0.883948,0.758621,0.977273,0,0,0.76,0,1,0.153846,0.230769,0.93,0.7,1,0,0,0.961685,0.75,1.166667,0,0,1,1,1,0,0,0.956667,0.9,1,0.917391,0.9,0.934783,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.846831,0.094213,-0.142381,0.028254,0,'\'(1.5-2.25]\'',1.33
0.68569,0.487179,0.815789,0,0.555556,0.947692,0.81,1,0,0,0.785714,0.642857,1,0,0.2,0.889142,0,1.166667,0.038462,0.115385,0.980769,0.75,1,0,0,0.373333,0.05,0.75,0.674155,0.522222,0.826087,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(0.8-1.6]\'','\'(-inf-0.857143]\'',0.824865,-0.173504,-0.029762,-0.181789,0.035714,'\'(1.5-2.25]\'',1.67
0.514684,0,0.795455,0.222222,0.666667,0.608462,0,1,0.230769,0.461538,0,0,0,1,1,0.768419,0,1.166667,0.192308,0.269231,0.076923,0,1,0.923077,0.923077,0.876667,0.75,1,0.840459,0.822222,0.858696,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(1.6-2.4]\'','\'(-inf-0.857143]\'',0.62737,0.014824,-0.263333,-0.060769,-0.142857,'\'(1.5-2.25]\'',0
0.658703,0,0.973684,0.111111,0.555556,0.89,0.58,1,0,0.153846,0.22,0,0.7,0.6,0.8,0.884646,0,1.166667,0.076923,0.076923,1,1,1,0,0,0.89,0.71,0.99,0.752295,0.711111,0.793478,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(1.714286-2.571429]\'',0.840859,0.01428,-0.055714,-0.174078,0,'\'(1.5-2.25]\'',2.67
0.867025,0.657895,1,0,0.111111,0.929231,0.63,1,0,0.153846,0.828571,0.7,0.95,0,0,0.969887,0.7,1,0,0,1,1,1,0,0,0.95,0.92,0.98,0.889976,0.877778,0.902174,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.8]\'','\'(2.571429-3.428571]\'',0.922529,0.058769,-0.10381,-0.024817,0,'\'(1.5-2.25]\'',3.33
0.68193,0.512821,0.795455,0,0.555556,0.813077,0.28,1,0,0.230769,0.65,0.4,0.95,0,0.6,0.737473,0,1.166667,0.038462,0.346154,0.923077,0,1,0.076923,0.076923,0.456667,0.28,0.56,0.746981,0.722222,0.771739,'\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(0.5-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.857143]\'',0.746383,-0.020532,0.059286,-0.134603,0.142857,'\'(1.5-2.25]\'',0
0.864161,0.763158,0.974359,0,0,0.730769,0,1,0.153846,0.307692,0.672857,0,1,0.2,0.2,0.922949,0,1.166667,0.038462,0.076923,0.769231,0,1,0.230769,0.230769,0.913333,0.8,0.99,0.873671,0.869565,0.877778,'\'(0.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(-inf-0.5]\'','\'(0.8-1.6]\'','\'(5.142857-inf)\'',0.806625,-0.000364,-0.499762,-0.113077,-0.5,'\'(1.5-2.25]\'',3.67
